 Writing video to: /home/p06lab/PHYS/AnimatedDrawings/video.gif
Render time: 8.05 seconds
         3171071 function calls (2964902 primitive calls) in 8.056 seconds

   Ordered by: cumulative time
   List reduced from 5619 to 1000 due to restriction <1000>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1386    0.003    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
        1    0.001    0.001    0.047    0.047 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/skimage/color/colorconv.py:1(<module>)
        1    0.000    0.000    0.045    0.045 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/linalg/__init__.py:1(<module>)
      391    0.017    0.000    0.044    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/_lib/doccer.py:13(docformat)
     4014    0.003    0.000    0.043    0.000 <__array_function__ internals>:177(hstack)
       36    0.041    0.001    0.043    0.001 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/OpenGL/platform/baseplatform.py:413(__call__)
     2167    0.002    0.000    0.042    0.000 {method 'mean' of 'numpy.ndarray' objects}
     1764    0.011    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      684    0.001    0.000    0.042    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/re.py:289(_compile)
      338    0.005    0.000    0.041    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/GifImagePlugin.py:797(_get_optimize)
      513    0.001    0.000    0.040    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1224(_with_data)
      128    0.001    0.000    0.040    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/sre_compile.py:759(compile)
      127    0.001    0.000    0.040    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/stats/_distn_infrastructure.py:755(_construct_doc)
      140    0.000    0.000    0.040    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/re.py:250(compile)
     4026    0.003    0.000    0.040    0.000 <__array_function__ internals>:177(tile)
     6509    0.005    0.000    0.038    0.000 <__array_function__ internals>:177(concatenate)
        1    0.000    0.000    0.037    0.037 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/signal/_filter_design.py:1(<module>)
        1    0.000    0.000    0.037    0.037 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/optimize/__init__.py:1(<module>)
      684    0.002    0.000    0.036    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/sparse/_compressed.py:480(_mul_vector)
    21267    0.022    0.000    0.035    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/core/numeric.py:1348(normalize_axis_tuple)
     4014    0.006    0.000    0.035    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/core/shape_base.py:299(hstack)
     4919    0.031    0.000    0.035    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/shapely/geometry/point.py:244(geos_point_from_py)
     4026    0.019    0.000    0.034    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/lib/shape_base.py:1191(tile)
 8498/341    0.009    0.000    0.034    0.000 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/joint.py:31(_get_chain_worldspace_positions)
     3542    0.006    0.000    0.033    0.000 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/vectors.py:21(__init__)
      338    0.000    0.000    0.033    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/Image.py:1604(histogram)
      338    0.032    0.000    0.032    0.000 {method 'histogram' of 'ImagingCore' objects}
        1    0.000    0.000    0.032    0.032 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/core/__init__.py:1(<module>)
      169    0.004    0.000    0.031    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/Image.py:1994(remap_palette)
      684    0.031    0.000    0.031    0.000 {built-in method scipy.sparse._sparsetools.csr_matvec}
        1    0.000    0.000    0.028    0.028 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/sklearn/__init__.py:1(<module>)
   223617    0.025    0.000    0.027    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.026    0.026 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/sklearn/base.py:1(<module>)
        1    0.000    0.000    0.026    0.026 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/sklearn/utils/__init__.py:1(<module>)
      170    0.006    0.000    0.025    0.000 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/animated_drawing.py:396(_set_draw_indices)
        1    0.000    0.000    0.025    0.025 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/config.py:17(__init__)
